,0
Number,5.387024
HTTPS,0.6037797
Max,0.48581842
Tot_sum,0.37749422
IAT,0.37630752
Rate,0.3214565
UDP,0.2981381
Time_To_Live,0.26899433
Header_Length,0.26639864
psh_flag_number,0.22237071
Variance,0.20517038
ack_flag_number,0.18021633
syn_flag_number,0.15604526
AVG,0.13921471
HTTP,0.13643607
DNS,0.05141798
fin_flag_number,0.04160768
ARP,0.036452446
Min,0.02934559
ICMP,0.015707482
SSH,0.004271138
Protocol_Type,0.0038820389
IRC,0.0024500021
ece_flag_number,0.0021716952
DHCP,0.0016410163
IGMP,0.0015625966
